cpu_usage,temperature,power,frequency,fan_rpm
33.3,49.6175460025442,22.96,1275.7,29.322743510423017
6.8,50.94955775162926,32.49,1302.7,97.6176397961017
5.7,48.82421603012229,25.52,1297.3,126.70662175298477
5.3,48.5726274772358,25.13,1326.7,34.88432087427785
2.1,48.31034012201934,23.89,1159.1,149.92536046692965
1.5,47.290858972066935,23.43,1297.6,149.54281798509527
1.2,46.61347733802054,22.92,1269.3,101.46470953700712
1.0,46.399253010971556,22.76,1184.2,5.846723166730982
2.1,45.90689014885354,23.68,1119.6,-1.0433488426290225
5.4,45.80349849735996,25.73,1231.6,-15.23835174851316
5.1,45.24583152069117,16.31,1140.7,107.93709153449237
1.0,46.06085492592863,14.01,1223.5,-43.441252899107546
1.6,46.50283067613637,14.35,1272.4,88.66515416914626
2.4,45.70044517853557,14.83,1206.5,-34.4727387235185
1.0,45.84544431018516,13.7,1246.1,98.78378166948214
2.2,46.2560943890691,14.93,1223.8,42.28196607960164
1.1,46.08294090135367,13.77,1203.1,134.38118032538097
1.9,46.20916253714782,14.75,1195.3,120.88570432840305
5.5,45.71141052946103,15.97,1130.0,141.40225510917477
8.5,47.99827932133841,16.28,1563.3,143.17421010891084
5.1,47.476745314104946,14.51,1269.4,50.944898233545835
7.7,46.93828126734709,16.74,1227.9,-40.10488577350613
7.0,46.69705975965562,15.87,1338.7,-32.70620430503272
7.1,47.59763094660282,16.66,1618.7,-105.00104893904944
3.3,47.023117210687836,14.95,1139.0,-34.686512443860266
2.3,47.91135922412739,14.32,1390.2,46.06573755101577
11.3,46.84671888654369,18.52,1792.2,1.9964516271754391
9.2,47.974174704992514,18.44,1460.7,28.640415333506677
6.9,47.7456581529108,19.34,1331.4,75.80600085816491
7.8,48.072653591470335,19.8,1358.7,20.087465206883746
6.7,47.145342134046686,20.25,1273.9,-37.108287748117114
8.9,48.062935599637676,20.72,1235.5,37.73391230920897
7.2,47.91287637515917,19.46,1253.5,-21.399605391247313
10.0,48.04320437554492,21.94,1241.2,22.56896459188965
7.1,47.77588733085151,19.77,1385.8,135.68542898297068
6.4,47.838669692560316,19.83,1456.9,22.89763896562416
9.2,47.45921412812368,20.89,1446.7,165.92071244884508
9.1,48.87954070124884,22.82,1459.3,142.27077524298537
6.7,48.537601762083646,20.32,1272.5,1.876321133195347
7.3,47.72039521146931,19.46,1411.2,-35.17737482543517
9.7,50.6895916408624,28.01,1569.5,38.92792916570521
9.1,51.09952190549292,22.16,1398.2,123.77065586288316
7.2,51.85728465987181,20.84,1421.8,9.090692125327621
6.8,50.26455400176623,19.86,1646.5,107.13964310548516
11.7,50.17943610059725,27.82,1487.1,128.3079981325913
7.8,52.357669010818896,23.29,1573.5,-10.342301466277064
2.5,50.496762921273,13.78,1187.1,-3.238006229961549
7.3,49.57706908025681,16.75,1278.5,94.1810767065941
13.6,49.53821267703521,19.27,1504.1,54.959727763958014
4.5,49.87524662926889,14.34,1314.8,-3.805717462366651
2.6,48.5666139103608,13.89,1206.8,19.470919617966125
1.0,47.4084744193139,13.44,1124.5,39.10639964746731
3.2,47.983335175183456,14.85,1210.2,-65.70783165925359
0.9,48.14399437248623,13.14,1188.3,97.24782382827303
0.8,48.42659394950842,13.32,1178.5,9.992057192568325
0.7,47.36988594446123,13.12,1191.2,-151.63120181030197
0.8,46.27479825466833,13.41,1247.9,41.32712599556852
1.0,45.85948547663474,13.6,1481.3,-9.108108411899856
1.1,47.204491912700846,13.38,1183.8,160.8526512152362
0.8,46.43870476848377,13.36,1124.0,1.512181626543729
0.8,46.15976165392819,13.68,1116.9,-34.462202323202476
0.8,46.5150193926692,13.49,1261.4,77.68357005554635
