cpu_usage,temperature,power,frequency,fan_rpm
33.3,50.82204359382735,22.96,1275.7,-103.53411176860078
6.8,51.881758400401864,32.49,1302.7,142.86380920897116
5.7,52.86841753916756,25.52,1297.3,75.2923998808264
5.3,49.617867256936414,25.13,1326.7,190.99118947646997
2.1,48.38125094053827,23.89,1159.1,19.908447479398202
1.5,48.7025726861348,23.43,1297.6,-5.0196853812243845
1.2,47.766688761888666,22.92,1269.3,193.53898238344104
1.0,47.848629082524496,22.76,1184.2,250.94811799477552
2.1,47.77056879072733,23.68,1119.6,41.489860315278456
5.4,46.906589494312655,25.73,1231.6,-42.49302937649075
5.1,48.638716279226514,16.31,1140.7,129.3400098929727
1.0,48.58710954252571,14.01,1223.5,12.129994809429771
1.6,47.72485325147859,14.35,1272.4,105.89820431906118
2.4,49.49174066783843,14.83,1206.5,11.379917314564477
1.0,48.14199642434471,13.7,1246.1,211.87465032509272
2.2,47.643293998609565,14.93,1223.8,-37.167828482052705
1.1,47.85783623788355,13.77,1203.1,92.58575238991125
1.9,48.105312631554845,14.75,1195.3,-14.07097563991234
5.5,47.55996093532438,15.97,1130.0,8.685458166493497
8.5,48.23799853711188,16.28,1563.3,-5.704744089302054
5.1,46.856075958093484,14.51,1269.4,120.84293351448287
7.7,48.12579053811493,16.74,1227.9,140.7320819503019
7.0,48.312669783207895,15.87,1338.7,101.0244645940005
7.1,48.65672343096616,16.66,1618.7,27.899533057744
3.3,49.12207969555453,14.95,1139.0,55.286360649940384
2.3,48.05042697415089,14.32,1390.2,138.69144618433714
11.3,47.82814127050054,18.52,1792.2,142.09291219856695
9.2,49.59277284182837,18.44,1460.7,-255.9864774840181
6.9,49.95602607970453,19.34,1331.4,10.063326775143636
7.8,49.12352840626749,19.8,1358.7,15.393633761275744
6.7,49.284403122972606,20.25,1273.9,113.72606775055411
8.9,49.20470713474488,20.72,1235.5,32.8027528939928
7.2,48.79090921092822,19.46,1253.5,119.29108332027022
10.0,50.296797791441875,21.94,1241.2,-78.44341010988944
7.1,50.33563153386598,19.77,1385.8,68.97700519863645
6.4,50.40236927713525,19.83,1456.9,139.53110410281244
9.2,50.844717379827394,20.89,1446.7,-121.556780735227
9.1,50.30771816438655,22.82,1459.3,317.22544115928326
6.7,51.20662687992901,20.32,1272.5,172.0817883231755
7.3,51.595283436852945,19.46,1411.2,41.4012986229002
9.7,53.99472913501414,28.01,1569.5,-49.86719674733685
9.1,52.443062946337974,22.16,1398.2,22.415674261480863
7.2,53.633387666787186,20.84,1421.8,51.2480442300977
6.8,51.47156250799959,19.86,1646.5,90.66657322124793
11.7,51.4079329563157,27.82,1487.1,207.40570661673772
7.8,52.49153331918633,23.29,1573.5,-9.919395438998919
2.5,52.69177701503788,13.78,1187.1,104.58780290273877
7.3,53.593760982550094,16.75,1278.5,-99.27494523171897
13.6,51.036555164703934,19.27,1504.1,-2.569280319629968
4.5,50.90856771580619,14.34,1314.8,84.2573817833565
2.6,50.58536033333848,13.89,1206.8,118.76537325103652
1.0,50.56654408012504,13.44,1124.5,-40.20729807905039
3.2,50.58446325188365,14.85,1210.2,-6.042928360361415
0.9,47.00572839898395,13.14,1188.3,202.93188938499677
0.8,48.866649366235336,13.32,1178.5,169.93313370927072
0.7,49.573754902334976,13.12,1191.2,64.79050159341818
0.8,47.76759192755612,13.41,1247.9,-204.39429029426952
1.0,49.01415229109056,13.6,1481.3,317.67125532190875
1.1,49.63882349563585,13.38,1183.8,39.0927020323097
0.8,49.107690134071575,13.36,1124.0,6.765521360069698
