cpu_usage,temperature,power,frequency,fan_rpm
33.3,50.878859865764156,22.96,1275.7,-48.83744741158722
6.8,54.2395639104089,32.49,1302.7,-419.11456694792656
5.7,52.38209597355361,25.52,1297.3,409.2620109994896
5.3,52.8309858699605,25.13,1326.7,-45.72511296074731
2.1,50.658107550777785,23.89,1159.1,-46.61271468224644
1.5,48.932991522145606,23.43,1297.6,290.49378941858623
1.2,51.32012002119972,22.92,1269.3,-141.72411242802576
1.0,47.134242062967516,22.76,1184.2,209.80182239283633
2.1,49.295311574553686,23.68,1119.6,-48.9776930126711
5.4,48.63851936397681,25.73,1231.6,-159.57706921373654
5.1,48.3515006534187,16.31,1140.7,294.72544956114393
1.0,50.071067740481425,14.01,1223.5,177.22653461063902
1.6,52.2757098842194,14.35,1272.4,176.6722163458274
2.4,48.288492211508895,14.83,1206.5,93.74396538660149
1.0,50.46703705721766,13.7,1246.1,128.39590832469457
2.2,48.95494355251499,14.93,1223.8,-146.34826485362035
1.1,49.61623004504922,13.77,1203.1,55.1701266164973
1.9,49.7715691029385,14.75,1195.3,-100.92585174229826
5.5,50.61983717581682,15.97,1130.0,-169.98639428292896
8.5,50.11866336360776,16.28,1563.3,99.96885564625457
5.1,48.79077492436924,14.51,1269.4,212.02378598297403
7.7,51.44117719460356,16.74,1227.9,-19.091673895273587
7.0,49.9746383629082,15.87,1338.7,6.574043427914347
7.1,49.80101640103221,16.66,1618.7,-132.24551607607472
3.3,49.973625913000134,14.95,1139.0,39.645590496608754
2.3,50.78701682616794,14.32,1390.2,152.64748265417256
11.3,51.03696319566128,18.52,1792.2,157.29419143568984
9.2,50.55700884083334,18.44,1460.7,120.41420263218518
6.9,51.24027186065605,19.34,1331.4,-54.06506523476679
7.8,50.51133194885328,19.8,1358.7,-58.76718814632125
6.7,49.054390595451444,20.25,1273.9,158.10751409872876
8.9,50.18463378597608,20.72,1235.5,160.63465647821016
7.2,49.96946071200965,19.46,1253.5,13.067846334061453
10.0,48.70988793903978,21.94,1241.2,-25.03125610833426
7.1,50.015056610141144,19.77,1385.8,214.13803953939575
6.4,50.57305695395474,19.83,1456.9,-14.808345527827342
9.2,51.09920662267394,20.89,1446.7,151.18681974360294
9.1,50.762805930031156,22.82,1459.3,18.866586926565578
6.7,52.271423046547554,20.32,1272.5,-117.3889384735617
7.3,52.56975290513197,19.46,1411.2,281.75040288324544
9.7,53.90073762357555,28.01,1569.5,57.918253957457985
9.1,54.9574159641196,22.16,1398.2,-66.29922782513643
7.2,52.569393512483565,20.84,1421.8,-167.96533638191593
6.8,52.180927738638616,19.86,1646.5,-152.68605801881506
11.7,53.319040375824976,27.82,1487.1,-14.987883154986704
7.8,53.130963531672215,23.29,1573.5,329.83271087036184
2.5,54.99497223782482,13.78,1187.1,-46.40541021186187
7.3,54.07216902286931,16.75,1278.5,258.60801570281404
13.6,52.175735715925434,19.27,1504.1,21.90864693278823
4.5,51.82006790069266,14.34,1314.8,-135.75409102548915
2.6,50.875366160716744,13.89,1206.8,-29.652230773760678
1.0,51.62104047088591,13.44,1124.5,-150.89440819088753
3.2,50.44163287752979,14.85,1210.2,-87.33892948030855
0.9,50.30664630710642,13.14,1188.3,-91.9736967142585
0.8,51.56901900588965,13.32,1178.5,-244.82471944013017
0.7,49.70327289586536,13.12,1191.2,267.41089190195976
0.8,48.978616200014635,13.41,1247.9,71.92781387613043
1.0,48.25095324699016,13.6,1481.3,-62.850290401345305
1.1,51.57703325868736,13.38,1183.8,73.19891184017285
0.8,50.07149693251547,13.36,1124.0,-85.51959665241947
0.8,52.402615683061036,13.68,1116.9,-360.969701770657
0.8,49.47059337757196,13.49,1261.4,482.9642740635678
0.9,48.00575027363248,13.37,1177.6,67.70580621920651
0.8,49.57137970376143,13.3,1124.0,-49.2516298872143
0.8,46.93807417601381,13.23,1136.9,-251.12756964311464
0.9,49.27392696481116,13.41,1153.7,-185.2823899791587
0.7,51.86067118128813,13.16,1216.6,286.9122318316273
0.7,48.21263037151367,13.12,1138.9,263.9428333584028
0.9,48.850895772810944,13.44,1119.5,151.56087378268006
0.8,48.671232357055665,13.1,1138.8,-128.74535513605986
0.9,50.35046798266731,13.0,1182.6,264.95924372815193
0.8,51.234622820687015,13.08,1211.0,105.88544139351319
0.7,48.66724055563641,13.03,1148.4,136.61838364931143
0.9,49.02645636745157,13.06,1188.5,105.27277560358101
0.8,50.2757770506546,13.39,1116.9,-187.72863884738558
0.7,48.86025128205693,13.4,1241.8,-141.42824459248266
0.9,49.58824269635697,13.58,1195.4,-38.256836644636365
1.3,51.27751532799117,13.75,1221.6,134.80483619909222
1.6,49.348179439094665,13.94,1213.1,-168.8203892777155
1.6,49.480347256156406,14.57,1340.6,11.930172358314383
1.4,47.05387858109789,13.89,1142.0,11.73026288549391
1.8,47.41570643489648,14.81,1165.6,157.12376439759544
12.7,49.45781483014406,18.48,1474.1,139.40599468983933
12.9,51.88922678749102,19.46,1367.2,-113.20191466143345
10.8,50.76849283485062,21.64,1381.2,255.57572891502377
6.6,52.533136199471144,22.65,1294.8,-135.70846634440426
10.8,52.635476066673604,24.83,1747.3,203.05367305803085
7.5,50.89967272710746,19.51,1249.4,-43.06289149527913
8.8,52.93764032866343,23.94,1300.6,64.25265978343933
7.1,56.02522563470245,24.43,1266.5,74.00232076881424
9.1,53.89425577637555,20.78,2562.5,70.40093759651252
7.3,57.902574146794336,30.66,1245.0,142.1979780318498
8.4,57.928648913396934,24.22,1138.9,100.77730821669448
5.4,56.33917459679434,15.82,1340.0,160.08637047824564
1.7,54.223567571232955,14.08,1249.2,112.1080198997855
1.1,54.06878213288443,13.51,1152.4,-147.49176686806368
9.4,54.14529370184381,18.0,2072.0,82.44365485888909
11.8,52.41333277112154,18.7,1452.4,-42.91213575188767
9.5,50.604889254066,18.64,1716.2,-124.98064950576705
9.7,54.457526874402255,18.35,2063.8,-2.2879450483183277
9.5,50.95914307466652,22.24,1395.7,68.48579788054876
5.5,51.72189633265371,19.88,1389.1,78.42539351966008
3.7,52.60798427706481,15.29,1124.0,199.48860519430872
2.8,52.740086893286595,15.16,1259.1,237.14227725551484
