cpu_usage,temperature,power,frequency,fan_rpm
33.3,46.83960527738945,22.96,1275.7,59.02292832706996
6.8,48.64439358052385,32.49,1302.7,25.52720547351083
5.7,47.24203296046147,25.52,1297.3,28.735683451992003
5.3,46.00167179504776,25.13,1326.7,35.019258365033856
2.1,45.0229199188355,23.89,1159.1,-0.7992084258767846
1.5,44.921933502929456,23.43,1297.6,50.83852401724903
1.2,44.34138667865422,22.92,1269.3,38.397645539369265
1.0,44.03463009344603,22.76,1184.2,63.03310764760328
2.1,44.30986683797304,23.68,1119.6,21.470230737558126
5.4,44.40299345144571,25.73,1231.6,30.893443867289164
5.1,44.58427905641392,16.31,1140.7,13.007262246662322
1.0,44.69140845568963,14.01,1223.5,22.934541026442865
1.6,44.384026862359654,14.35,1272.4,19.280909530514364
2.4,43.70142927627909,14.83,1206.5,62.755190611025846
1.0,43.77942669446367,13.7,1246.1,28.798372503954543
2.2,43.81447299234099,14.93,1223.8,45.1858317520273
1.1,43.933286347134036,13.77,1203.1,35.034952271328685
1.9,43.36282251585184,14.75,1195.3,17.216631976023802
5.5,44.456554394069435,15.97,1130.0,39.202288238405195
8.5,44.65867398984595,16.28,1563.3,54.51836883383424
5.1,44.83947782425312,14.51,1269.4,18.353919016210945
7.7,45.154838962265906,16.74,1227.9,58.815996651643864
7.0,45.45762967053998,15.87,1338.7,25.597511281909924
7.1,45.17505344749179,16.66,1618.7,33.04446173328745
3.3,45.08361792283493,14.95,1139.0,53.41318167673358
2.3,44.563090740867956,14.32,1390.2,29.611868189662964
11.3,45.2707484111583,18.52,1792.2,43.553249820662124
9.2,45.26887115327529,18.44,1460.7,36.58867316309124
6.9,45.25966999101976,19.34,1331.4,45.538476412101495
7.8,45.14647054578382,19.8,1358.7,-4.605333274148592
6.7,45.2247273264727,20.25,1273.9,6.4653952067114915
8.9,45.374654268818205,20.72,1235.5,55.420516905178935
7.2,45.42561904280373,19.46,1253.5,63.880628379586845
10.0,46.049620690520406,21.94,1241.2,24.957716155984535
7.1,45.8468949489641,19.77,1385.8,38.460515649200026
6.4,45.72007459225557,19.83,1456.9,49.383055346775336
9.2,46.194429635051954,20.89,1446.7,57.478471778593985
9.1,47.97311432584619,22.82,1459.3,3.16720635018995
6.7,47.09023804911613,20.32,1272.5,26.386084076498335
7.3,46.446543276655994,19.46,1411.2,37.63576806665849
9.7,49.96289406616565,28.01,1569.5,58.35580625882858
9.1,48.767766486474024,22.16,1398.2,94.70966164142135
7.2,48.66826893423275,20.84,1421.8,40.56177963574838
6.8,47.58466471635394,19.86,1646.5,17.158310804071554
11.7,48.44453213410523,27.82,1487.1,53.49279258325459
7.8,49.503388361590844,23.29,1573.5,71.99448217415853
2.5,49.10118877643028,13.78,1187.1,47.9906638454327
7.3,47.85381067001519,16.75,1278.5,27.914853308880424
13.6,47.334429189519106,19.27,1504.1,65.24477940977172
4.5,46.68639146250074,14.34,1314.8,59.239577863114334
2.6,46.57445432250828,13.89,1206.8,25.348248785261305
1.0,46.40614254241077,13.44,1124.5,53.41439816948456
3.2,45.933993936909125,14.85,1210.2,65.51206429915553
0.9,45.80162698359083,13.14,1188.3,69.01829085525922
0.8,45.876887403348796,13.32,1178.5,43.893186997280026
0.7,45.257836130271194,13.12,1191.2,37.77825260436239
0.8,44.81653987082613,13.41,1247.9,69.2453417403817
1.0,44.51432403982375,13.6,1481.3,20.292675444325276
1.1,44.493125215485904,13.38,1183.8,53.09408849677163
